year,month,year_month,representation_status,claims_volume,no_uplift_claims,exceptional_circumstances,exceptional_injury,exceptional_circs_and_injury,liab_disp_injury,liab_admitted,liab_partial,liab_denied,settlement_volume,average_days_to_settle,open_settlements,vol_tariff_amount,avg_tariff_amount,vol_non_tariff,avg_non_tariff,vol_tariff_uplift,avg_tariff_uplift,exit_court,exit_rejected_liab,exit_removed,exit_withdrawn,total_settlement_value,avg_claim_per_settlement
2021,May,2021-05-01,Represented,4,4,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null
2021,May,2021-05-01,Unrepresented,7,3,0,1,3,null,2,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null
2021,June,2021-06-01,Represented,8960,7796,208,298,658,110,5671,231,447,null,null,30,null,null,null,null,null,null,null,null,66,93,0,null
2021,June,2021-06-01,Unrepresented,1055,779,45,29,202,11,692,5,26,1,8,null,1,495,null,null,null,null,null,1,9,18,495,495
2021,July,2021-07-01,Represented,14763,12941,311,427,1084,186,9283,329,763,1,36,50,1,260,null,null,null,null,null,1,449,274,260,260
2021,July,2021-07-01,Unrepresented,1555,1156,64,38,297,15,1020,10,49,53,34,null,51,645,19,785,3,138,null,null,77,52,48224,909
2021,August,2021-08-01,Represented,17660,15502,426,514,1218,210,10812,350,857,7,65,65,6,601,4,649,null,null,null,5,892,348,6202,886
2021,August,2021-08-01,Unrepresented,1714,1297,71,45,301,15,1155,8,62,260,46,null,254,642,104,1055,11,75,1,1,65,56,273613,1052
2021,September,2021-09-01,Represented,19706,17344,468,583,1311,212,11983,364,917,123,83,68,119,641,38,1016,null,null,3,53,1223,404,114887,934
2021,September,2021-09-01,Unrepresented,1863,1360,82,56,365,16,1244,6,51,528,55,null,519,638,214,1055,12,110,2,2,117,86,558212,1057
2021,October,2021-10-01,Represented,20073,17642,440,590,1401,244,12180,377,946,409,101,64,401,583,99,1053,4,283,null,25,1403,449,339162,829
2021,October,2021-10-01,Unrepresented,2068,1584,92,52,340,24,1331,11,61,578,63,null,571,643,230,968,13,143,4,4,140,68,591652,1023
2021,November,2021-11-01,Represented,22441,19886,497,586,1472,260,13418,401,942,1093,115,58,1081,606,304,921,12,180,7,28,1842,559,937230,857
2021,November,2021-11-01,Unrepresented,2310,1747,95,64,404,14,1500,10,63,705,69,null,695,659,252,945,32,200,2,8,155,86,702545,996
2021,December,2021-12-01,Represented,19271,17063,434,529,1245,190,11419,360,938,1627,129,55,1599,615,443,890,28,211,7,13,1698,613,1383563,850
2021,December,2021-12-01,Unrepresented,1794,1324,85,49,336,11,1166,6,58,730,75,null,711,670,267,862,29,160,7,1,145,69,711164,974
2022,January,2022-01-01,Represented,20862,18553,444,547,1318,211,12433,365,875,2003,148,39,1985,649,640,902,22,170,35,11,1857,765,1869285,933
2022,January,2022-01-01,Unrepresented,2266,1685,101,62,418,22,1471,13,72,846,89,null,823,651,321,903,46,119,9,3,162,80,831110,982
2022,February,2022-02-01,Represented,22619,20018,551,604,1446,306,13203,374,934,2721,156,57,2671,674,931,904,36,328,63,18,2040,704,2653686,975
2022,February,2022-02-01,Unrepresented,2021,1470,92,76,383,16,1280,9,66,867,91,null,853,697,340,844,53,155,4,9,186,89,889716,1026
2022,March,2022-03-01,Represented,24068,21181,577,741,1569,307,13876,427,1273,3994,171,54,3941,684,1442,926,61,338,92,19,1436,1562,4051554,1014
2022,March,2022-03-01,Unrepresented,2383,1732,116,67,468,19,1536,6,79,976,88,null,957,691,418,946,46,246,12,9,120,100,1068031,1094
2022,April,2022-04-01,Represented,20421,18039,469,593,1320,229,11697,374,1049,4170,177,469,4112,675,1449,891,48,198,78,23,326,1182,4076163,977
2022,April,2022-04-01,Unrepresented,1876,1358,93,53,372,14,1167,10,59,814,91,6,793,712,345,942,47,145,11,4,52,73,896421,1101
2022,May,2022-05-01,Represented,22480,19781,521,746,1432,275,12845,394,1152,5125,187,702,5044,674,1780,864,78,173,136,25,446,1092,4951070,966
2022,May,2022-05-01,Unrepresented,2097,1515,111,56,415,14,1340,6,69,967,103,12,939,711,383,879,29,144,16,9,63,83,1008462,1042
2022,June,2022-06-01,Represented,21784,18857,482,795,1650,277,12260,364,1103,4943,200,709,4871,702,1787,889,68,198,137,22,602,1110,5021549,1015
2022,June,2022-06-01,Unrepresented,2111,1510,97,65,439,14,1366,8,58,847,106,22,827,698,322,915,46,130,11,5,70,54,877856,1036
2022,July,2022-07-01,Represented,22404,19540,542,847,1475,323,12964,396,1184,5311,206,757,5223,708,1891,877,75,192,296,39,824,1140,5370691,1011
2022,July,2022-07-01,Unrepresented,2072,1523,96,73,380,29,1325,9,58,855,111,18,836,692,342,947,52,156,17,9,54,68,910498,1064
2022,August,2022-08-01,Represented,21337,18548,473,841,1475,296,12432,387,1146,5946,221,720,5870,726,2261,905,79,210,200,47,1037,1130,6324415,1063
2022,August,2022-08-01,Unrepresented,2183,1562,104,53,464,26,1356,8,67,754,119,26,734,734,288,977,41,131,15,3,72,79,825503,1094
2022,September,2022-09-01,Represented,21116,18189,670,786,1471,298,12154,392,1280,6085,232,774,5994,744,2299,864,79,171,510,44,1320,1125,6459381,1061
2022,September,2022-09-01,Unrepresented,2126,1524,112,61,429,27,1335,9,79,824,119,14,808,766,305,869,55,143,10,6,62,68,891838,1082
2022,October,2022-10-01,Represented,22164,19169,606,879,1510,372,13153,377,1296,6406,236,833,6313,720,2435,878,92,170,704,29,2694,1250,6698930,1045
2022,October,2022-10-01,Unrepresented,2356,1763,92,56,445,21,1538,10,79,870,123,25,851,758,347,920,31,160,20,6,58,77,969258,1114
2022,November,2022-11-01,Represented,24527,20990,672,996,1869,375,14631,438,1560,6928,238,932,6826,730,2543,860,83,254,467,39,1511,1375,7191042,1037
2022,November,2022-11-01,Unrepresented,2483,1813,116,71,483,24,1573,10,89,938,126,18,910,782,398,1002,42,134,14,2,85,90,1116044,1189
2022,December,2022-12-01,Represented,19779,17019,581,829,1350,280,11872,308,1230,6403,248,743,6309,740,2284,902,90,139,497,17,1248,1043,6741338,1052
2022,December,2022-12-01,Unrepresented,2105,1552,93,73,387,19,1321,12,90,892,118,22,867,765,381,937,38,135,12,2,58,79,1025382,1149
2023,January,2023-01-01,Represented,24048,20695,583,1065,1705,341,14283,414,1356,7105,254,894,6999,747,2553,909,86,218,626,35,1767,1340,7567678,1065
2023,January,2023-01-01,Unrepresented,2873,2067,127,81,598,12,1846,20,105,927,131,25,894,776,382,1004,40,190,18,6,98,78,1084872,1170
2023,February,2023-02-01,Represented,21760,18838,470,1040,1412,296,12865,364,1336,6883,253,796,6789,742,2386,996,73,153,635,35,1707,2007,7425063,1078
2023,February,2023-02-01,Unrepresented,2440,1806,95,73,466,15,1535,13,104,969,120,29,942,750,352,1070,35,188,12,5,90,78,1089720,1124
2023,March,2023-03-01,Represented,22763,19851,508,938,1466,356,13247,393,1471,9036,255,810,8909,743,3490,986,118,175,746,51,1874,1709,10081177,1115
2023,March,2023-03-01,Unrepresented,2724,1962,117,95,550,22,1765,12,101,1418,128,16,1377,795,587,1083,76,169,20,11,107,89,1743280,1229
2023,April,2023-04-01,Represented,17777,15486,343,733,1215,285,10452,277,1176,7210,264,592,7089,755,2849,1024,85,214,594,26,1328,1624,8287761,1149
2023,April,2023-04-01,Unrepresented,2289,1703,96,72,418,30,1508,13,90,1073,127,19,1038,803,445,1066,52,152,22,9,90,67,1315788,1226
2023,May,2023-05-01,Represented,20552,17763,459,890,1440,373,12121,338,1406,7522,267,689,7403,743,3000,1006,79,161,641,34,1692,1727,8531148,1134
2023,May,2023-05-01,Unrepresented,2635,1918,104,82,531,21,1643,10,132,1121,126,20,1093,768,443,1072,52,145,14,8,82,93,1321860,1179
2023,June,2023-06-01,Represented,20869,18285,440,819,1325,394,12363,382,1470,8435,276,635,8309,762,3388,1012,108,181,813,25,1757,1483,9779662,1159
2023,June,2023-06-01,Unrepresented,2662,1915,112,84,551,31,1684,12,118,1275,121,31,1244,755,530,980,62,157,20,6,111,75,1468354,1151
2023,July,2023-07-01,Represented,20392,17775,400,909,1308,397,12166,320,1520,8403,273,632,8293,766,3487,1005,92,116,870,41,1683,1361,9867545,1174
