period,new_claim,stage_1_exit,stage_2_exit,exit_process,court_pack,settled_claims,general_damages
Apr-20,2719,1520,59,790,74,542,"£4,269.67"
Apr-21,1977,980,37,531,45,364,"£4,694.49"
Apr-22,1952,1039,38,577,35,351,"£5,112.04"
Apr-23,"2,150",976,28,430,39,304,"£6,227.30"
Apr-24,"2,284","1,112",18,481,32,319,"£6,309.86"
Apr-25,"1,838",878,22,463,42,265,"£6,889.66"
Aug-20,2207,1490,50,853,83,563,"£4,459.26"
Aug-21,2315,993,45,597,57,414,"£4,846.60"
Aug-22,2101,948,42,561,47,336,"£4,962.19"
Aug-23,"2,448","1,340",27,632,52,320,"£6,244.58"
Aug-24,"2,020","1,015",30,443,36,269,"£6,180.39"
Dec-20,1846,798,30,427,44,254,"£4,394.58"
Dec-21,2419,994,31,595,40,359,"£4,906.90"
Dec-22,"2,344","1,096",37,572,54,366,"£5,004.89"
Dec-22,"1,665","1,126",39,544,34,259,"£6,090.64"
Dec-23,"1,617","1,117",32,474,29,286,"£6,782.12"
Dec-24,"1,469",835,38,406,28,258,"£7,259.58"
Feb-20,4027,1499,55,945,96,710,"£4,367.02"
Feb-21,2670,1134,26,659,40,417,"£4,906.45"
Feb-22,2456,1019,36,640,38,371,"£4,718.25"
Feb-23,"2,355",924,38,444,32,329,"£5,616.06"
Feb-23,"2,508","1,172",44,601,42,352,"£6,018.62"
Feb-24,"2,272","1,018",26,454,31,370,"£6,175.21"
Feb-25,"2,003",669,26,386,24,288,"£6,751.60"
Jan-20,3421,1776,42,860,97,635,"£4,307.37"
Jan-21,2625,982,33,536,63,401,"£4,991.54"
Jan-22,2617,1055,35,629,39,361,"£4,801.20"
Jan-23,"2,374","1,100",36,599,44,360,"£4,797.17"
Jan-23,"2,542","1,050",29,557,54,300,"£5,993.90"
Jan-24,"2,497","1,151",26,544,39,343,"£5,727.50"
Jan-25,"2,091",899,18,455,42,315,"£6,798.95"
Jul-20,3424,1662,61,866,90,650,"£4,519.35"
Jul-21,2276,1164,37,637,63,451,"£4,852.83"
Jul-22,2699,1208,45,717,60,412,"£4,734.90"
Jul-23,"2,469","1,161",37,589,55,349,"£6,158.33"
Jul-24,"2,249","1,169",45,495,35,343,"£6,551.44"
Jul-25,"1,693",727,12,338,28,249,"£7,453.80"
Jun-20,3658,1148,41,688,75,616,"£4,438.78"
Jun-21,1502,614,23,380,25,343,"£4,719.33"
Jun-22,2396,801,32,521,43,346,"£4,871.25"
Jun-23,"2,559","1,245",48,529,52,370,"£6,100.51"
Jun-24,"1,934","1,119",43,429,37,313,"£6,452.03"
Jun-25,"1,875","1,031",25,465,35,295,"£6,742.76"
Mar-20,3796,1554,52,895,87,703,"£4,512.43"
Mar-21,2230,1112,28,638,44,406,"£4,773.72"
Mar-22,2609,1126,43,713,45,426,"£5,028.16"
Mar-23,"2,656","1,336",43,663,37,391,"£6,164.76"
Mar-23,"2,631","1,220",43,644,44,331,"£5,926.27"
Mar-24,"2,290","1,171",33,461,27,353,"£6,227.18"
Mar-25,"2,001",898,31,492,39,295,"£7,203.27"
May-20,3673,1611,54,948,106,616,"£4,432.81"
May-21,2223,992,26,584,44,383,"£4,551.41"
May-22,2383,1000,24,539,39,365,"£4,867.45"
May-23,"2,214","1,178",35,543,47,342,"£5,656.81"
May-24,"2,006","1,180",31,479,24,309,"£6,785.60"
May-25,"1,476",845,19,413,39,256,"£6,812.98"
Nov-20,2293,819,41,535,57,374,"£4,706.52"
Nov-21,2442,992,37,567,54,378,"£4,960.91"
Nov-22,"2,257","1,080",37,543,42,334,"£4,974.68"
Nov-23,"2,525","1,288",35,675,22,367,"£6,175.66"
Nov-24,"1,873",903,39,488,45,295,"£7,163.42"
Oct-20,1976,846,36,524,72,468,"£4,892.87"
Oct-21,2288,1016,35,561,46,384,"£4,795.17"
Oct-22,"2,337","1,012",53,508,40,383,"£5,258.25"
Oct-23,"2,492","1,193",50,546,42,337,"£5,998.72"
Oct-24,"2,123","1,030",30,459,47,356,"£6,795.44"
Sep-20,1650,1065,39,549,54,448,"£4,698.72"
Sep-21,2199,928,26,577,40,347,"£4,774.83"
Sep-22,2418,1044,32,604,51,406,"£5,118.08"
Sep-23,"2,367","1,151",34,625,47,292,"£6,106.24"
Sep-24,"1,975",984,38,502,30,294,"£7,052.73"
