period,new_claim,stage_1_exit,stage_2_exit,exit_process,court_pack,settled_claims,general_damages
Apr-11,"54,185","22,478","1,885","2,206",594,"16,306","£1,839.73"
Apr-12,"62,450","21,314","1,589","8,158",763,"21,884","£1,988.49"
Apr-13,"78,812","29,710","1,141","15,792","1,109","22,528","£2,099.22"
Apr-14,"63,822","17,524","1,047","11,508","1,959","18,920","£2,568.24"
Apr-15,"72,131","19,807","1,039","14,602","4,147","18,062","£2,605.60"
Apr-16,"70,328","17,108","1,210","13,996","5,454","17,828","£2,657.79"
Apr-17,"51,890","12,534",986,"12,380","5,908","13,451","£2,804.94"
Apr-18,"54,654","11,912","1,153","12,751","5,971","13,564","£2,826.73"
Apr-19,"54,723","10,602",933,"13,313","5,648","14,194","£2,811.17"
Apr-20,"24,628","7,799","1,044","8,652","4,689","13,301","£2,851.40"
Apr-21,"36,996","5,830",654,"10,343","4,094","7,919","£2,923.17"
Apr-22,"7,332","1,380",324,"2,338","1,228","1,900","£4,077.49"
Apr-23,"6,114","1,213",208,"1,828",695,478,"£5,428.89"
Apr-24,"7,630","1,685",275,"2,099",604,603,"£6,221.39"
Apr-25,"6,651","1,285",247,"2,168",623,690,"£5,767.84"
Aug-10,"49,580","20,078",637,0,9,"3,109","£1,488.61"
Aug-11,"64,326","25,819","1,902","6,289",873,"20,891","£1,909.36"
Aug-12,"67,753","25,025","1,777","10,848",867,"22,097","£1,992.35"
Aug-13,"57,287","18,093",881,"11,755","1,651","18,989","£2,293.48"
Aug-14,"65,303","17,956",943,"11,129","2,562","17,610","£2,583.03"
Aug-15,"67,512","17,217",922,"13,968","4,628","16,670","£2,570.35"
Aug-16,"67,061","12,447",718,"10,517","4,463","14,663","£2,691.19"
Aug-17,"58,922","14,398",963,"14,004","6,428","14,877","£2,802.72"
Aug-18,"58,321","12,535","1,070","14,239","5,999","13,486","£2,854.05"
Aug-19,"54,874","11,525","1,107","14,288","5,663","13,283","£2,824.77"
Aug-20,"33,922","6,560",534,"8,512","3,679","7,651","£2,860.66"
Aug-21,"11,388","2,445",695,"4,664","3,588","6,571","£3,044.84"
Aug-22,"8,099","1,748",355,"2,435","1,250","1,483","£4,307.00"
Aug-23,"7,473","2,005",362,"2,167",774,591,"£5,731.54"
Aug-24,"7,124","1,917",346,"2,075",617,607,"£6,735.44"
Dec-10,"51,771","27,567","2,539",0,268,"10,687","£1,730.44"
Dec-11,"57,326","22,991","1,630","6,373",670,"18,466","£1,932.12"
Dec-12,"60,190","23,165","1,165","10,270",833,"17,586","£2,035.59"
