year,month,injury_duration,settlement_volume
2021,July,0-3 Mths,5
2021,July,3-6 Mths,15
2021,July,6-9 Mths,11
2021,July,9-12 Mths,1
2021,July,12-15 Mths,1
2021,August,0-3 Mths,10
2021,August,3-6 Mths,94
2021,August,6-9 Mths,61
2021,August,9-12 Mths,8
2021,August,12-15 Mths,1
2021,September,0-3 Mths,51
2021,September,3-6 Mths,206
2021,September,6-9 Mths,137
2021,September,9-12 Mths,22
2021,September,12-15 Mths,3
2021,October,0-3 Mths,76
2021,October,3-6 Mths,355
2021,October,6-9 Mths,188
2021,October,9-12 Mths,38
2021,November,0-3 Mths,138
2021,November,3-6 Mths,592
2021,November,6-9 Mths,311
2021,November,9-12 Mths,72
2021,November,12-15 Mths,4
2021,November,18-24 Mths,1
2021,December,0-3 Mths,158
2021,December,3-6 Mths,760
2021,December,6-9 Mths,472
2021,December,9-12 Mths,95
2021,December,12-15 Mths,3
2022,January,0-3 Mths,201
2022,January,3-6 Mths,892
2022,January,6-9 Mths,518
2022,January,9-12 Mths,132
2022,January,12-15 Mths,15
2022,January,15-18 Mths,3
2022,February,0-3 Mths,241
2022,February,3-6 Mths,1099
2022,February,6-9 Mths,759
2022,February,9-12 Mths,189
2022,February,12-15 Mths,42
2022,February,15-18 Mths,2
2022,February,18-24 Mths,1
2022,March,0-3 Mths,342
2022,March,3-6 Mths,1606
2022,March,6-9 Mths,985
2022,March,9-12 Mths,263
2022,March,12-15 Mths,87
2022,March,15-18 Mths,2
2022,March,18-24 Mths,1
2022,April,0-3 Mths,376
2022,April,3-6 Mths,1533
2022,April,6-9 Mths,1019
2022,April,9-12 Mths,280
2022,April,12-15 Mths,55
2022,April,15-18 Mths,4
2022,April,18-24 Mths,1
2022,May,0-3 Mths,458
2022,May,3-6 Mths,1935
2022,May,6-9 Mths,1158
2022,May,9-12 Mths,357
2022,May,12-15 Mths,56
2022,May,15-18 Mths,5
2022,May,18-24 Mths,5
2022,June,0-3 Mths,395
2022,June,3-6 Mths,1734
2022,June,6-9 Mths,1133
2022,June,9-12 Mths,358
2022,June,12-15 Mths,70
2022,June,15-18 Mths,9
2022,June,18-24 Mths,1
2022,July,0-3 Mths,465
2022,July,3-6 Mths,1901
2022,July,6-9 Mths,1254
2022,July,9-12 Mths,400
2022,July,12-15 Mths,94
2022,July,15-18 Mths,11
2022,July,18-24 Mths,3
2022,August,0-3 Mths,511
2022,August,3-6 Mths,1999
2022,August,6-9 Mths,1302
2022,August,9-12 Mths,481
2022,August,12-15 Mths,115
2022,August,15-18 Mths,11
2022,August,18-24 Mths,9
2022,September,0-3 Mths,509
2022,September,3-6 Mths,1986
2022,September,6-9 Mths,1375
2022,September,9-12 Mths,547
2022,September,12-15 Mths,132
2022,September,15-18 Mths,25
2022,September,18-24 Mths,7
2022,October,0-3 Mths,564
2022,October,3-6 Mths,2097
2022,October,6-9 Mths,1473
2022,October,9-12 Mths,485
2022,October,12-15 Mths,113
2022,October,15-18 Mths,23
2022,October,18-24 Mths,6
2022,November,0-3 Mths,635
2022,November,3-6 Mths,2284
2022,November,6-9 Mths,1612
2022,November,9-12 Mths,587
2022,November,12-15 Mths,125
2022,November,15-18 Mths,35
2022,November,18-24 Mths,15
2022,December,0-3 Mths,571
2022,December,3-6 Mths,2117
2022,December,6-9 Mths,1384
2022,December,9-12 Mths,545
2022,December,12-15 Mths,153
2022,December,15-18 Mths,37
2022,December,18-24 Mths,12
2023,January,0-3 Mths,617
2023,January,3-6 Mths,2330
2023,January,6-9 Mths,1646
2023,January,9-12 Mths,623
2023,January,12-15 Mths,140
2023,January,15-18 Mths,44
2023,January,18-24 Mths,15
2023,February,0-3 Mths,631
2023,February,3-6 Mths,2447
2023,February,6-9 Mths,1580
2023,February,9-12 Mths,603
2023,February,12-15 Mths,145
2023,February,15-18 Mths,40
2023,February,18-24 Mths,30
2023,March,0-3 Mths,788
2023,March,3-6 Mths,3315
2023,March,6-9 Mths,2212
2023,March,9-12 Mths,806
2023,March,12-15 Mths,192
2023,March,15-18 Mths,44
2023,March,18-24 Mths,29
2023,April,0-3 Mths,682
2023,April,3-6 Mths,2590
2023,April,6-9 Mths,1732
2023,April,9-12 Mths,646
2023,April,12-15 Mths,185
2023,April,15-18 Mths,43
2023,April,18-24 Mths,35
2023,May,0-3 Mths,726
2023,May,3-6 Mths,2668
2023,May,6-9 Mths,1797
2023,May,9-12 Mths,672
2023,May,12-15 Mths,135
2023,May,15-18 Mths,57
2023,May,18-24 Mths,31
2023,June,0-3 Mths,756
2023,June,3-6 Mths,2990
2023,June,6-9 Mths,2031
2023,June,9-12 Mths,743
2023,June,12-15 Mths,158
2023,June,15-18 Mths,65
2023,June,18-24 Mths,48
2023,July,0-3 Mths,730
2023,July,3-6 Mths,2974
2023,July,6-9 Mths,2072
2023,July,9-12 Mths,730
2023,July,12-15 Mths,161
2023,July,15-18 Mths,77
2023,July,18-24 Mths,48
2023,August,0-3 Mths,812
2023,August,3-6 Mths,3131
2023,August,6-9 Mths,2112
2023,August,9-12 Mths,726
2023,August,12-15 Mths,172
2023,August,15-18 Mths,80
2023,August,18-24 Mths,48
2023,September,0-3 Mths,821
2023,September,3-6 Mths,3174
2023,September,6-9 Mths,2152
2023,September,9-12 Mths,802
2023,September,12-15 Mths,193
2023,September,15-18 Mths,68
2023,September,18-24 Mths,40
2023,October,0-3 Mths,870
2023,October,3-6 Mths,3169
2023,October,6-9 Mths,2109
2023,October,9-12 Mths,791
2023,October,12-15 Mths,158
2023,October,15-18 Mths,93
2023,October,18-24 Mths,63
2023,November,0-3 Mths,888
2023,November,3-6 Mths,3411
2023,November,6-9 Mths,2308
2023,November,9-12 Mths,868
2023,November,12-15 Mths,183
2023,November,15-18 Mths,80
2023,November,18-24 Mths,66
2023,December,0-3 Mths,795
2023,December,3-6 Mths,3224
2023,December,6-9 Mths,2162
2023,December,9-12 Mths,765
2023,December,12-15 Mths,173
2023,December,15-18 Mths,77
2023,December,18-24 Mths,69
2024,January,0-3 Mths,891
